set C :=C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 ;
set P :=FO1 FO2 FO3 FO4 FO5 FO6 FO7 FO8 FO9 FO10 FO11 FO12 FO13 FO14 FO15 FO16 ;
set F :=1165 1432 1698 1843 1987 2135 2421 2600 2828 2972 3072 3250 3386 3571 3708 3984 4217 4461 4699 4858 5059 5172 5307 5531 5715 6005 6289 6522 6759 6942 7023 7398 7509 7961 8324 8456 8838 9122 9456 9785 ;

param: origin dest dep arr :=
[1165] SCR SDG 429 519
[1432] BER UCL 432 492
[1698] DAV BER 444 474
[1843] SDG BER 453 543
[1987] UCL SDG 471 501
[2135] BER UCL 485 545
[2421] UCL SDG 499 529
[2600] BER DAV 540 570
[2828] SCR DAV 552 582
[2972] UCL SDG 583 613
[3072] SDG SCR 597 687
[3250] SDG UCL 603 633
[3386] SDG SCR 630 720
[3571] BER DAV 647 677
[3708] DAV BER 660 690
[3984] UCL BER 670 730
[4217] UCL BER 743 803
[4461] SDG UCL 748 778
[4699] SCR BER 750 780
[4858] DAV SCR 780 810
[5059] BER SCR 780 810
[5172] DAV SDG 790 910
[5307] BER DAV 801 831
[5531] UCL BER 847 907
[5715] SCR BER 861 891
[6005] BER UCL 870 930
[6289] BER DAV 898 928
[6522] SCR BER 900 930
[6759] DAV UCL 920 1010
[6942] SCR UCL 957 1017
[7023] SDG SCR 977 1067
[7398] BER SCR 979 1009
[7509] UCL SDG 993 1023
[7961] BER UCL 999 1059
[8324] BER DAV 1023 1053
[8456] DAV UCL 1043 1133
[8838] UCL BER 1080 1140
[9122] UCL SDG 1085 1110
[9456] SDG SCR 1089 1179
[9785] SCR BER 1101 1131
;

param capPos0 :=
[7398, FO10] 198
[7398, FO11] 189
[7398, FO12] 177
[7398, FO13] 178
[7398, FO14] 196
[7398, FO15] 185
[7398, FO16] 191
[7509, FO1] 168
[7509, FO2] 165
[7509, FO3] 149
[7509, FO4] 151
[7509, FO5] 150
[7509, FO6] 162
[7509, FO7] 172
[7509, FO8] 170
[7509, FO9] 160
[7509, FO10] 162
[7509, FO11] 170
[7509, FO12] 170
[7509, FO13] 165
[7509, FO14] 163
[7509, FO15] 174
[7509, FO16] 160
[7961, FO1] 142
[7961, FO2] 136
[7961, FO3] 142
[7961, FO4] 162
[7961, FO5] 145
[7961, FO6] 154
[7961, FO7] 155
[7961, FO8] 152
[7961, FO9] 143
[7961, FO10] 154
[7961, FO11] 157
[7961, FO12] 143
[7961, FO13] 145
[7961, FO14] 152
[7961, FO15] 134
[7961, FO16] 139
[8324, FO1] 160
[8324, FO2] 159
[8324, FO3] 180
[8324, FO4] 170
[8324, FO5] 183
[8324, FO6] 164
[8324, FO7] 167
[8324, FO8] 179
[8324, FO9] 175
[8324, FO10] 175
[8324, FO11] 184
[8324, FO12] 176
[8324, FO13] 181
[8324, FO14] 169
[8324, FO15] 167
[8324, FO16] 174
[8456, FO1] 138
[8456, FO2] 145
[8456, FO3] 158
[8456, FO4] 167
[8456, FO5] 147
[8456, FO6] 147
[8456, FO7] 169
[8456, FO8] 145
[8456, FO9] 173
[8456, FO10] 156
[8456, FO11] 160
[8456, FO12] 166
[8456, FO13] 153
[8456, FO14] 163
[8456, FO15] 149
[8456, FO16] 149
[8838, FO1] 191
[8838, FO2] 172
[8838, FO3] 180
[8838, FO4] 204
[8838, FO5] 182
[8838, FO6] 178
[8838, FO7] 204
[8838, FO8] 192
[8838, FO9] 195
[8838, FO10] 199
[8838, FO11] 198
[8838, FO12] 182
[8838, FO13] 195
[8838, FO14] 187
[8838, FO15] 195
[8838, FO16] 201
[9122, FO1] 156
[9122, FO2] 155
[9122, FO3] 133
[9122, FO4] 148
[9122, FO5] 151
[9122, FO6] 158
[9122, FO7] 165
[9122, FO8] 144
[9122, FO9] 151
[9122, FO10] 146
[9122, FO11] 155
[9122, FO12] 160
[9122, FO13] 148
[9122, FO14] 143
[9122, FO15] 137
[9122, FO16] 160
[9456, FO1] 115
[9456, FO2] 150
[9456, FO3] 132
[9456, FO4] 133
[9456, FO5] 136
[9456, FO6] 138
[9456, FO7] 129
[9456, FO8] 122
[9456, FO9] 120
[9456, FO10] 131
[9456, FO11] 137
[9456, FO12] 121
[9456, FO13] 130
[9456, FO14] 130
[9456, FO15] 149
[9456, FO16] 130
[9785, FO1] 200
[9785, FO2] 194
[9785, FO3] 198
[9785, FO4] 189
[9785, FO5] 221
[9785, FO6] 194
[9785, FO7] 208
[9785, FO8] 185
[9785, FO9] 184
[9785, FO10] 204
[9785, FO11] 171
[9785, FO12] 206
[9785, FO13] 193
[9785, FO14] 197
[9785, FO15] 199
[9785, FO16] 199
;
